FOR_EACH
     elems       seq      par
 1000000        24        13
 2000000        50        21
 3000000        97        32
 4000000       254        43
 5000000       142        38
 6000000       162        64
 7000000       225        71
 8000000       303        95
 9000000       240        71
10000000       276        73
11000000       286        84
12000000       312        84
13000000       330        93
14000000       365       102
15000000       516       134
16000000       446       125
17000000       469       136
18000000       485       141
19000000       511       154

PARTIAL_SUM AND INCLUSIVE_SCAN
     elems       seq      par
   1000000      1076       402
   2000000      2178       810
   3000000      3300      1216
   4000000      4390      1600
   5000000      5711      1996
   6000000      6635      2403
   7000000      8066      2747
   8000000      8885      3092
   9000000      9899      3384
  10000000     10912      3567
  11000000     12115      4392
  12000000     13306      4650
  13000000     14591      5137
  14000000     15392      6543
  15000000     16571      5783
  16000000     17154      5863
  17000000     17681      6117
  18000000     18601      6436
  19000000     20671      7123

INNER_PRODUCT AND TRANSFORN REDUCE
     elems       seq      par
   1000000        55         2
   2000000       101         8
   3000000       151         7
   4000000       199         9
   5000000       254        12
   6000000       299        30
   7000000       350        18
   8000000       403        41
   9000000       447        35
  10000000       496        38
  11000000       546        45
  12000000       601        63
  13000000       640        52
  14000000       707        62
  15000000       773        48
  16000000       909        66
  17000000       845        66
  18000000       893        60
  19000000       948        80
